name_x,station_id_x,name_y,station_id_y,distance_miles
ACC - Rio Grande & 12th,2545,East 6th at Robert Martinez,2822,2.010642490826241
ACC - Rio Grande & 12th,2545,East 4th & Chicon,3292,1.7967185655775468
ACC - Rio Grande & 12th,2545,East 2nd & Pedernales,3293,2.3191202513978393
ACC - Rio Grande & 12th,2545,OFFICE/Main/Shop/Repair,1001,0.5255297116618086
ACC - Rio Grande & 12th,2545,Palmer Auditorium,2567,1.1760680796703888
ACC - Rio Grande & 12th,2545,Medina & East 6th,3660,1.2256951372410188
ACC - Rio Grande & 12th,2545,Convention Center / 4th St. @ MetroRail,2498,0.9156285298707345
ACC - Rio Grande & 12th,2545,Convention Center / 3rd & Trinity,2539,0.9119720195883638
ACC - Rio Grande & 12th,2545,Davis at Rainey Street,2563,1.2100676305802975
ACC - Rio Grande & 12th,2545,East 11th St. at Victory Grill,2568,1.2316248625122883
ACC - Rio Grande & 12th,2545,East 11th St. & San Marcos,2569,1.0851427880874691
ACC - Rio Grande & 12th,2545,Barton Springs & Riverside,2502,1.1908954313489712
ACC - Rio Grande & 12th,2545,ACC - West & 12th Street,2546,0.05851928528293798
ACC - Rio Grande & 12th,2545,Barton Springs @ Kinney Ave,2711,1.2661801969393045
ACC - Rio Grande & 12th,2545,6th & Navasota St.,1002,1.3977913021217554
ACC - Rio Grande & 12th,2545,8th & Guadalupe,1003,0.3528937276260288
ACC - Rio Grande & 12th,2545,Zilker Park West,1006,1.4279974330001448
ACC - Rio Grande & 12th,2545,8th & Congress,2496,0.5373856765345206
ACC - Rio Grande & 12th,2545,Capitol Station / Congress & 11th,2497,0.4325917935154221
ACC - Rio Grande & 12th,2545,City Hall / Lavaca & 2nd,2499,0.7716671230585828
ACC - Rio Grande & 12th,2545,Long Center @ South 1st & Riverside,2549,1.147743866074994
ACC - Rio Grande & 12th,2545,Pease Park,3464,0.4605865307056745
ACC - Rio Grande & 12th,2545,Bullock Museum @ Congress & MLK,2538,0.6345748859467379
ACC - Rio Grande & 12th,2545,17th & Guadalupe,2540,0.3901728481025703
ACC - Rio Grande & 12th,2545,Guadalupe & 21st,2547,0.6389728045768382
ACC - Rio Grande & 12th,2545,Capital Metro HQ - East 5th at Broadway,2823,2.6099092720536636
ACC - Rio Grande & 12th,2545,East 7th & Pleasant Valley,3381,2.482384998794543
ACC - Rio Grande & 12th,2545,Brazos & 6th,3390,0.6767113481016417
